seconds_pre_waveform_query	1729623915.8148422
seconds_post_waveform_query	1729623915.8617146
xzero1	0
xmultiplier1	5e-05
yzero1	0.864
ymultiplier1	0.008
transfer_duty_cycle	1.0
xzero2	0
xmultiplier2	5e-05
yzero2	0.32
ymultiplier2	0.08
xzero3	0
xmultiplier3	5e-05
yzero3	-0.74
ymultiplier3	0.02
xzero4	0
xmultiplier4	5e-05
yzero4	-0.0
ymultiplier4	0.388
/sillyscope/VISA/Device	'USB0::0x1AB1::0x04CE::DS1ZA204719905::INSTR'
/sillyscope/Acquire/Iterations	0
/sillyscope/Acquire/Trigger	False
/sillyscope/Acquire/Get_First_Header	True
/sillyscope/Acquire/Get_All_Headers	True
/sillyscope/Acquire/Discard_Identical	False
/sillyscope/Acquire/RIGOL1000BDE/Trigger_Delay	0.05
/sillyscope/Acquire/RIGOL1000BDE/Unlock	True
/sillyscope/Acquire/RIGOL1000Z/Always_Clear	True
DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2], d[3], d[4] )\n\nxlabels = 'x'\nylabels = ( 'y1', 'y2', 'y3', 'y4' )\n"
self.number_history	0
self.text_log_note	'Note'

x	y1	y2	y3	y4
0.0074	1.336	2.0	0.1602	-5.043
0.00745	1.3125	2.08	0.02002	-5.43
0.007500000000000001	1.32	2.08	0.1201	-5.43
0.00755	1.288	1.841	-0.02002	-5.043
0.0076	1.296	2.08	0.06006	-5.43
0.0076500000000000005	1.28	1.841	-0.06006	-5.043
0.0077	1.288	1.841	0.0	-5.043
0.00775	1.271	2.08	-0.1401	-5.43
0.0078000000000000005	1.28	1.921	-0.04004	-5.43
0.007850000000000001	1.256	1.841	-0.1802	-5.043
0.0079	1.256	1.921	-0.0801	-5.43
0.00795	1.224	1.841	-0.2402	-5.043
0.008	1.232	1.841	-0.1401	-5.43
0.00805	1.208	1.921	-0.28	-5.043
0.0081	1.208	1.921	-0.2002	-5.43
0.008150000000000001	1.184	1.841	-0.32	-5.043
0.0082	1.191	1.921	-0.2603	-5.43
0.00825	1.176	1.841	-0.36	-5.043
0.0083	1.184	1.841	-0.3	-5.43
0.00835	1.168	1.921	-0.4402	-5.043
0.008400000000000001	1.176	1.921	-0.3801	-5.43
0.008450000000000001	1.152	1.841	-0.4602	-5.043
0.0085	1.144	1.921	-0.4202	-5.43
0.00855	1.168	1.841	-0.5	-5.043
0.0086	1.168	1.921	-0.4802	-5.43
0.00865	1.271	1.841	-0.56	-5.043
0.008700000000000001	1.28	1.921	-0.54	-5.43
0.00875	1.176	1.841	-0.62	-5.043
0.0088	1.184	1.921	-0.6	-5.43
0.00885	1.104	1.841	-0.64	-5.043
0.0089	1.104	1.921	-0.62	-5.43
0.00895	1.088	1.841	-0.7	-5.043
0.009000000000000001	1.08	1.921	-0.68	-5.43
0.00905	1.104	1.841	-0.74	-5.043
0.0091	1.104	1.921	-0.72	-5.43
0.00915	1.224	1.841	-0.8003	-5.043
0.0092	1.248	1.921	-0.74	-5.43
0.009250000000000001	1.12	1.841	-0.8203	-5.043
0.009300000000000001	1.12	1.921	-0.8003	-5.43
0.00935	1.032	1.761	-0.8604	-5.043
0.0094	1.04	1.921	-0.8403	-5.43
0.00945	0.9917	1.761	-0.8804	-5.043
0.0095	1.0	1.761	-0.8604	-5.43
0.009550000000000001	0.9756	1.841	-0.9204	-5.043
0.009600000000000001	0.9756	1.761	-0.9004	-5.43
0.00965	0.9517	1.841	-0.9404	-5.043
0.0097	0.96	1.761	-0.9404	-5.43
0.00975	0.9517	1.841	-0.9204	-5.043
0.0098	0.96	1.761	-0.9204	-5.43
0.009850000000000001	0.944	1.841	-0.9805	-5.043
0.0099	0.9517	1.761	-0.9204	-5.043
0.00995	0.9917	1.841	-0.9805	-5.43
0.01	1.023	1.761	-0.9805	-5.43
0.01005	0.984	1.841	-0.9204	-5.043
0.010100000000000001	0.984	1.761	-0.9604	-5.43
0.010150000000000001	0.9517	1.841	-0.9204	-5.043
0.0102	0.9517	1.761	-0.9404	-5.43
0.01025	0.96	1.841	-0.9004	-5.043
0.0103	0.9517	1.761	-0.9204	-5.43
0.01035	0.968	1.841	-0.8604	-5.043
0.010400000000000001	0.968	1.761	-0.9204	-5.43
0.010450000000000001	0.984	1.841	-0.8403	-5.043
0.0105	0.9756	1.761	-0.8804	-5.043
0.01055	0.9917	1.841	-0.8003	-5.43
0.0106	0.984	1.761	-0.8604	-5.043
0.01065	1.008	1.841	-0.7803	-5.43
0.010700000000000001	1.0	1.761	-0.8003	-5.43
0.010750000000000001	1.016	1.841	-0.72	-5.043
0.0108	1.023	1.761	-0.7603	-5.43
0.01085	1.04	1.841	-0.68	-5.043
0.0109	1.032	1.761	-0.7	-5.43
0.01095	1.056	1.841	-0.62	-5.043
0.011000000000000001	1.056	1.841	-0.64	-5.43
0.01105	1.08	1.601	-0.56	-5.043
0.0111	1.072	1.601	-0.62	-5.43
0.01115	1.096	1.841	-0.52	-5.043
0.0112	1.088	1.761	-0.54	-5.043
0.011250000000000001	1.128	1.601	-0.4402	-5.43
0.011300000000000001	1.12	1.601	-0.4602	-5.43
0.01135	1.144	1.681	-0.3801	-5.043
0.0114	1.136	1.601	-0.4001	-5.43
0.01145	1.16	1.681	-0.34	-5.043
0.0115	1.152	1.681	-0.34	-5.043
0.011550000000000001	1.184	1.601	-0.2603	-5.43
0.011600000000000001	1.176	1.681	-0.28	-5.43
0.01165	1.208	1.601	-0.2002	-5.043
0.0117	1.2	1.601	-0.2202	-5.43
0.01175	1.232	1.681	-0.1401	-5.043
0.0118	1.224	1.681	-0.1602	-5.43
0.011850000000000001	1.248	1.601	-0.0801	-5.043
0.0119	1.256	1.681	-0.1001	-5.43
0.01195	1.28	1.601	-0.02002	-5.043
0.012	1.271	1.681	-0.06006	-5.043
0.01205	1.296	1.601	0.04004	-5.43
0.012100000000000001	1.288	1.601	-0.02002	-5.043
0.012150000000000001	1.32	1.681	0.06006	-5.43
0.0122	1.3125	1.681	0.04004	-5.43
0.01225	1.336	1.601	0.1201	-5.043
0.0123	1.328	1.601	0.0801	-5.43
0.01235	1.352	1.681	0.1602	-5.043
0.012400000000000001	1.352	1.601	0.1401	-5.43
0.012450000000000001	1.368	1.681	0.2197	-5.043
0.0125	1.359	1.5205	0.1602	-5.43
0.01255	1.384	1.681	0.2397	-5.043
0.0126	1.376	1.681	0.2197	-5.043
0.01265	1.393	1.5205	0.2803	-5.43
0.012700000000000001	1.384	1.681	0.2598	-5.43
0.012750000000000001	1.4	1.5205	0.2998	-5.043
0.0128	1.4	1.681	0.2998	-5.43
0.01285	1.393	1.5205	0.2598	-5.043
0.0129	1.393	1.5205	0.2803	-5.43
0.012950000000000001	1.416	1.681	0.3398	-5.043
0.013000000000000001	1.408	1.5205	0.2803	-5.43
0.01305	1.416	1.601	0.3398	-5.043
0.0131	1.416	1.5205	0.3398	-5.43
0.01315	1.4	1.601	0.2803	-5.043
0.0132	1.4	1.5205	0.2803	-5.43
0.013250000000000001	1.4	1.601	0.3398	-5.043
0.013300000000000001	1.4	1.5205	0.2998	-5.043
0.01335	1.384	1.601	0.2598	-5.43
0.0134	1.393	1.5205	0.2998	-5.043
0.01345	1.376	1.601	0.2197	-5.43
0.0135	1.384	1.5205	0.2803	-5.43
0.013550000000000001	1.359	1.601	0.2002	-5.043
0.013600000000000001	1.368	1.5205	0.2397	-5.43
0.01365	1.336	1.601	0.1401	-5.043
0.0137	1.344	1.601	0.1802	-5.43
0.01375	1.32	1.5205	0.0801	-5.043
0.013800000000000002	1.32	1.5205	0.1201	-5.43
0.013850000000000001	1.288	1.601	0.02002	-5.043
0.013900000000000001	1.296	1.5205	0.1001	-5.43
0.01395	1.264	1.601	-0.04004	-5.043
0.014	1.264	1.5205	0.02002	-5.43
0.01405	1.232	1.601	-0.1401	-5.043
0.014100000000000001	1.24	1.5205	-0.06006	-5.43
0.014150000000000001	1.208	1.601	-0.2402	-5.043
0.0142	1.2	1.601	-0.1401	-5.043
0.01425	1.168	1.44	-0.34	-5.43
0.0143	1.176	1.601	-0.2402	-5.43
0.01435	1.128	1.36	-0.4202	-5.043
0.014400000000000001	1.136	1.601	-0.36	-5.43
0.014450000000000001	1.088	1.36	-0.56	-5.043
0.0145	1.096	1.601	-0.4402	-5.43
0.01455	1.048	1.36	-0.68	-5.043
0.0146	1.056	1.36	-0.58	-5.43
0.014650000000000002	1.0	1.5205	-0.7803	-5.043
0.014700000000000001	1.008	1.44	-0.68	-5.43
0.014750000000000001	0.968	1.36	-0.9204	-5.043
0.0148	0.968	1.36	-0.8003	-5.43
0.01485	0.9277	1.44	-1.04	-5.043
0.0149	0.9355	1.36	-0.9204	-5.43
0.014950000000000001	0.8877	1.44	-1.181	-5.043
0.015000000000000001	0.8877	1.44	-1.04	-5.43
0.015050000000000001	0.84	1.36	-1.301	-5.043
0.0151	0.8477	1.44	-1.141	-5.43
0.01515	0.8076	1.36	-1.381	-5.043
0.0152	0.8076	1.36	-1.26	-5.43
0.015250000000000001	0.776	1.44	-1.5205	-5.043
0.015300000000000001	0.776	1.44	-1.381	-5.43
0.01535	0.7437	1.36	-1.601	-5.043
0.0154	0.752	1.36	-1.48	-5.043
0.01545	0.712	1.44	-1.721	-5.43
0.0155	0.7197	1.44	-1.561	-5.43
0.015550000000000001	0.6875	1.36	-1.801	-5.043
0.015600000000000001	0.696	1.36	-1.66	-5.43
0.01565	0.672	1.44	-1.86	-5.043
0.015700000000000002	0.6797	1.36	-1.74	-5.43
0.01575	0.656	1.44	-1.961	-5.043
0.0158	0.6636	1.44	-1.841	-5.043
0.01585	0.656	1.36	-2.02	-5.43
0.0159	0.6636	1.44	-1.9	-5.43
0.015950000000000002	0.6475	1.36	-2.04	-5.043
0.016	0.6475	1.44	-1.961	-5.043
0.016050000000000002	0.6636	1.36	-2.121	-5.43
0.0161	0.6636	1.36	-1.98	-5.43
0.01615	0.7197	1.44	-2.16	-5.043
0.0162	0.7197	1.44	-2.02	-5.043
0.01625	0.9517	1.28	-2.2	-5.43
0.016300000000000002	0.9517	1.44	-2.08	-5.43
0.01635	0.76	1.28	-2.2	-5.043
0.0164	0.76	1.28	-2.102	-5.43
